trace_id;activity_ids
181906;4,5,22
181909;4,5,24,24,22,24
181912;4,5,6,7,7,7,7,7,7,8,10,9,11,12,13,7,13,14,15,13,15,26,15,26,26,26,26,26,22,25,26
181915;4,5,6,7,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,15,26,15,15,15,17,16,18,19,15
181918;4,5,24,24,6,7,24,7,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,23
181921;4,5,6,7,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,26,26,26,26,26,26,15,26,15,18,16,17,19,15
181924;4,5,6,7,7,23,7
181927;4,5,24,24,22,24
181930;4,5,22
181933;4,5,22
181936;4,5,22
181939;4,5,24,24,6,7,24,7,22,7
181942;4,5,24,24,22,24
181945;4,5,6,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,13,13,14,15,13,15,22,25,15
181948;4,5,22
181951;4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,13,13,14,15,13,15,18,17,16,19,15
181954;4,5,24,24,22,24
181957;4,5,24,24,6,7,24,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,14,15,13,15,15,15,26,15,26,25,22,26
181960;4,5,6,7,7,8,9,10,11,12,13,7,13,13,13,13,13,20,23
181963;4,5,6,7,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,15,26,15,18,16,17,19,15
181966;4,5,6,7,7,7,7,8,9,10,11,12,13,7,13,14,15,13,15,20,9,11,12,26,15,26,26,26,26,26,26,26,14,15,26,15,18,16,17,19,15
181969;4,5,6,7,7,8,10,9,11,12,13,7,13,13,13,13,13,9,20,11,12,13,13,13,13,13,13,13,13,13,13,13,14,15,13,15,15,15,26,15,26,26,26,26,26,15,26,15,15,15,26,15,26,26,26,15,26,15,22,25,15
181972;4,5,24,24,6,7,24,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23
181975;4,5,24,24,6,7,24,7,23,7
181978;4,5,22
181981;4,5,6,7,7,8,9,10,11,12,13,7,13,14,15,13,15,15,15,15,15,26,15,26,26,26,26,26,26,26,26,26,26,26,20,9,11,12,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,20,23,26
181984;4,5,6,7,7,8,10,9,11,12,13,7,13,23,20,13
181987;4,5,6,7,7,7,7,7,7,7,7,8,9,10,11,12,13,7,13,13,13,14,15,13,15,15,15,18,17,16,19,15
181990;4,5,6,7,7,22,7
181993;4,5,6,7,7,8,10,9,11,12,13,7,13,13,13,14,15,13,15,15,15,18,17,19,16,15
181996;4,5,6,7,7,23,7
181999;4,5,6,7,7,7,7,8,9,10,11,12,13,7,13,13,13,13,13,20,23
182002;4,5,22
182005;4,5,6,7,7,8,9,10,11,12,13,7,13,14,15,13,15,15,15,25,22,15
182008;4,5,22
182011;4,5,24,24,22,24
182014;4,5,22
182017;4,5,6,7,7,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,20,13
182020;4,5,6,7,7,7,7,8,10,9,11,12,13,7,13,9,20,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,13,15,9,20,11,12,26,15,26,26,26,26,26,26,26,26,26,14,15,26,15,17,18,19,16,15
182023;4,5,6,7,7,8,9,10,11,12,13,7,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,26,26,26,26,26,26,26,26,15,26,15,15,15,15,15,18,16,17,19,15
