case:concept:name,concept:name,time:timestamp
case_0,c,2025-02-24 19:28:11.040279
case_0,b,2025-02-24 19:33:11.040279
case_0,c,2025-02-24 19:38:11.040279
case_0,a,2025-02-24 19:43:11.040279
case_0,c,2025-02-24 19:48:11.040279
case_0,c,2025-02-24 19:53:11.040279
case_0,c,2025-02-24 19:58:11.040279
case_0,a,2025-02-24 20:03:11.040279
case_0,b,2025-02-24 20:08:11.040279
case_0,a,2025-02-24 20:13:11.040279
case_0,c,2025-02-24 20:18:11.040279
case_0,b,2025-02-24 20:23:11.040279
case_0,c,2025-02-24 20:28:11.040279
case_0,c,2025-02-24 20:33:11.040279
case_0,c,2025-02-24 20:38:11.040279
case_0,c,2025-02-24 20:43:11.040279
case_0,a,2025-02-24 20:48:11.040279
case_0,b,2025-02-24 20:53:11.040279
case_0,b,2025-02-24 20:58:11.040279
case_0,b,2025-02-24 21:03:11.040279
case_1,b,2025-02-24 19:28:11.040319
case_1,b,2025-02-24 19:33:11.040319
case_1,c,2025-02-24 19:38:11.040319
case_1,a,2025-02-24 19:43:11.040319
case_1,c,2025-02-24 19:48:11.040319
case_1,a,2025-02-24 19:53:11.040319
case_1,a,2025-02-24 19:58:11.040319
case_1,b,2025-02-24 20:03:11.040319
case_1,a,2025-02-24 20:08:11.040319
case_1,a,2025-02-24 20:13:11.040319
case_1,c,2025-02-24 20:18:11.040319
case_1,c,2025-02-24 20:23:11.040319
case_1,c,2025-02-24 20:28:11.040319
case_1,b,2025-02-24 20:33:11.040319
case_1,a,2025-02-24 20:38:11.040319
case_1,b,2025-02-24 20:43:11.040319
case_1,a,2025-02-24 20:48:11.040319
case_1,a,2025-02-24 20:53:11.040319
case_1,c,2025-02-24 20:58:11.040319
case_1,a,2025-02-24 21:03:11.040319
case_2,a,2025-02-24 19:28:11.040355
case_2,a,2025-02-24 19:33:11.040355
case_2,b,2025-02-24 19:38:11.040355
case_2,a,2025-02-24 19:43:11.040355
case_2,c,2025-02-24 19:48:11.040355
case_2,b,2025-02-24 19:53:11.040355
case_2,b,2025-02-24 19:58:11.040355
