trace_id;activity_ids
Case2789;4,5,6,7
Case261;4,5,6,7
Case2342;4,5,9,9,6,7
Case2374;4,5,6,7
Case4106;4,5,6,7
Case1169;4,6,7
Case1116;4,5,6,7
Case2415;4,5,6,7
Case1122;4,5,6,7
Case901;4,6,6,7
Case1817;4,5,6,7
Case4037;4,5,6,7
Case3885;4,5,6,7
Case910;4,5,6,7
Case73;4,6,7
Case2534;4,5,6,7
Case1102;4,5,6,6,7
Case533;4,5,6,7
Case829;4,5,6,7
Case2474;4,5,6,7
Case3413;4,5,9,6,7
Case1112;4,5,9,9,6,7
Case1466;4,5,6,7
Case1587;4,5,9,6,7
Case2167;4,5,6,7
Case2791;4,5,6,7
Case1787;4,5,9,9,6,6,7
Case4469;4,5,6,7
Case3880;4,6,7
Case292;4,5,6,7
Case2074;4,5,6,7
Case3095;4,5,6,7
Case954;4,5,6,7
Case3844;4,5,6,7
Case2847;4,5,6,7
Case1101;4,5,6,7
Case1791;4,5,6,7
Case80;4,5,6,7
Case242;4,5,6,7
Case4355;4,5,6,7
Case211;4,6,7
Case3341;4,5,6,7
Case3738;4,5,6,7
Case3002;4,5,6,7
Case4248;4,6,7
Case2227;4,6,6,7
Case2634;4,5,6,7
Case397;4,5,6,7
Case3416;4,6,7
Case2390;4,5,6,7
Case427;4,5,6,7
Case4371;4,6,6,7
Case4422;4,5,6,7
Case4269;4,5,9,6,7
Case2187;4,5,6,7
Case3182;4,5,9,6,7
Case4030;4,5,6,7
Case3428;4,5,6,7
Case3898;4,5,6,7
Case755;4,5,6,7
Case876;4,5,9,6,7
Case2908;4,5,6,7
Case3511;4,5,6,7
Case4032;4,9,6,7
Case3086;4,5,6,7
Case1815;4,5,6,7
Case3943;4,5,6,7
Case2296;4,5,6,7
Case1075;4,5,6,7
Case3083;4,5,9,6,7
Case1327;4,9,6,7
Case4394;4,5,6,7
Case483;4,5,6,7
Case1356;4,5,6,7
Case2256;4,6,7
Case3180;4,5,6,7
Case4419;4,9,6,7
Case2609;4,5,9,6,7
Case2367;4,5,6,7
Case4282;4,5,6,7
Case3260;4,5,6,7
Case2220;4,5,6,7
Case3638;4,5,6,7
Case40;4,5,6,7
Case1290;4,5,6,7
Case1500;4,6,6,7
Case4054;4,5,6,7
Case1185;4,5,6,7
Case247;8,5,6,7
Case1968;4,5,6,7
Case2854;4,5,6,7
Case3249;4,5,11,11,5,6,6,7
Case3654;4,5,6,7
Case1330;4,6,6,7
Case4162;4,5,6,7
Case2455;4,5,9,6,7
Case3240;4,5,6,7
Case4396;4,5,6,7
Case2431;4,5,6,7
Case2607;4,5,6,7
Case3188;4,5,6,7
Case2875;4,5,9,6,7
Case1887;4,5,6,7
Case2097;4,5,6,7
Case3864;4,5,6,7
Case3288;4,5,9,6,6,7
Case3027;4,5,6,7
Case1313;4,5,6,7
Case4326;4,5,9,6,7
Case2403;4,5,6,7
Case1332;4,5,6,7
Case4365;4,5,9,6,7
Case4068;4,5,6,7
Case3657;4,5,6,7
Case503;4,5,10,11,6,7
Case1682;4,5,6,7
Case2504;4,5,9,6,7
Case3214;4,5,10,6,7
Case324;5,6,7
Case4359;4,5,9,6,7
Case1017;4,5,9,6,6,7
Case1946;4,5,6,7
Case4082;4,5,11,6,7
Case3426;4,5,6,7
Case4048;4,5,6,7
Case1338;4,6,7
Case498;4,5,6,6,7
Case2380;4,5,9,5,6,7
Case2714;4,5,6,7
Case2603;4,5,6,7
Case478;4,4,5,9,6,7
Case3071;4,5,10,11,6,7
Case502;4,5,6,7
Case1813;4,5,9,6,7
Case2713;4,5,9,6,7
Case769;4,5,6,7
Case3933;4,5,6,7
Case622;4,5,10,6,7
Case520;4,5,6,6,7
Case962;4,5,6,7
Case253;4,5,6,7
Case1580;4,5,9,6,7
Case2674;4,5,9,5,6,7
Case4456;4,5,9,6,7
Case1615;4,5,9,6,7
Case4398;4,5,9,5,9,6,7
Case2676;4,5,6,7
Case4478;4,5,9,5,6,7
Case2013;4,5,6,7
Case1449;4,9,5,9,6,7
Case4487;4,5,6,7
Case2290;4,5,9,6,7
Case1792;4,5,6,7
Case2108;4,5,6,7
Case2490;4,4,5,9,6,7
Case1903;4,5,9,6,7
Case1;4,5,5,6,7
Case2279;4,5,9,6,7
Case1179;4,5,9,6,7
Case1007;4,5,6,7
Case435;4,5,11,6,7
Case2447;4,5,5,6,7
Case4154;4,5,6,7
Case3542;4,5,9,6,7
Case708;4,5,9,6,7
Case1145;4,5,9,6,7
Case638;4,5,9,5,9,6,7
Case2949;4,5,9,6,7
Case4369;4,5,9,6,7
Case3957;4,5,5,6,7
Case4558;4,5,9,6,7
Case2897;4,5,11,5,6,7
Case233;4,5,9,6,7
Case3543;4,5,9,6,7
Case3865;4,5,11,6,7
Case780;4,5,9,6,7
Case2081;4,5,11,6,7
Case2104;4,5,11,6,7
Case2716;4,5,9,6,7
Case3016;4,4,5,6,7
Case3044;4,5,6,7
Case1924;4,5,6,7
Case2826;4,5,9,6,7
Case4501;5,9,5,9,6,7
Case3059;4,5,11,6,7
Case2197;4,5,9,6,7
Case2328;4,5,6,7
