epoch,train_loss,train_accuracy,"train_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=7))","train_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=7))","val_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
1,1.4445003947716566,0.7434382438659668,0.03730657218190134,inf,1.4165131814976597,0.7434260249137878,0.014849936534103499,0.05758107118337003
2,1.262162339131759,0.7536235451698303,0.024960237014417786,0.06493654054333275,1.2866509364574041,0.7515026330947876,0.02179207721678149,0.06787874955453428
3,1.2560379268410082,0.7586753964424133,0.03012033692630568,0.0651449936259976,1.272345237924803,0.7574004530906677,0.032829697028291964,0.06320897489216967
4,1.2437463705483367,0.7589653730392456,0.02574626020948392,0.06418794041115367,1.2647764242888662,0.7530052661895752,0.018926349917470817,0.060566949152236135
5,1.2256547903723796,0.7593006491661072,0.02743946983292948,0.06398691934277123,1.3392450570730723,0.7430127859115601,0.02652936349669151,0.06418359798725731
6,1.2266910290696935,0.7591193914413452,inf,0.06418742800136956,1.2821554160550888,0.7507513165473938,0.020791825581544042,0.06486698012938474
7,1.2231872785099331,0.7603245973587036,0.027373877816469442,0.06351071777766432,1.2579573521620464,0.7439143657684326,0.035778167504586726,0.06986180583059196
8,1.2210455792018053,0.7569944262504578,0.025738312369352177,0.06417517726270366,1.3074169833208218,0.7432757616043091,0.015190709265613483,0.06663139582226711
9,1.213512491403189,0.7595090270042419,0.02661913803580475,0.06502229771808563,1.2324845938723343,0.7537190318107605,0.032328340185790505,0.06112270486363935
10,1.2032792560515642,0.7596313953399658,0.026595815943605817,0.06376129524882469,1.3593756064866733,0.753230631351471,0.028269821491926295,0.0683537642403902
