epoch,train_loss,train_accuracy,"train_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=7))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))",val_loss,val_accuracy,"val_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=7))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))"
1,0.658341186497027,0.26787203550338745,inf,0.16313152031037442,0.6450298565806765,0.4084821343421936,0.14116256309278083,0.04569114771756259
2,0.5693328638811213,0.3862308859825134,0.10721886782074554,0.06110305254303812,0.5911523622996879,0.3638392984867096,0.10480227036909624,0.05755505995316939
3,0.527601803843729,0.3781641125679016,0.08917964644424832,0.063741841790166,0.5653105973745838,0.4107142984867096,0.08806559822776101,0.05143425970366507
4,0.498216523547206,0.40083450078964233,0.09182988204435079,0.06126613636841723,0.5330576114356518,0.4107142984867096,0.06878172050822864,0.07481087699080959
5,0.5004652378535144,0.3974965214729309,0.10865931518161062,0.05943522395421956,0.5503136311290842,0.40625,0.10916502981474906,0.051140453598716044
6,0.4943637291113641,0.39026424288749695,0.08584140428823839,0.05670407373735141,0.5327328321382855,0.4118303656578064,0.052172189770322855,0.056496649077444366
7,0.4759457223032557,0.393463134765625,0.08396626676521822,0.06073012889245573,0.5036590765597242,0.4095982015132904,0.07296413363832416,0.048513752041441024
8,0.4661473500752915,0.3965229392051697,0.08165981610374856,0.05842640249790661,0.4950644871953762,0.4084821343421936,0.07600182475465717,0.05889073574181759
9,0.4604159954918353,0.3904033303260803,0.08093443092337509,0.06043312202274166,0.48307872293799214,0.4017857015132904,0.12267145388054125,0.04839942238547585
10,0.45395483771036627,0.3963838517665863,0.07989811861098989,0.055325671374707376,0.47712112465365364,0.4029017984867096,0.06706397172176477,0.04931698567939527
11,0.4443386373462011,0.3969402015209198,0.08460203351308797,0.05184623078981553,0.5102329691138231,0.4040178656578064,0.040554131161082876,0.08655191190315015
12,0.44222133082149717,0.3970792889595032,0.07875320808297767,0.05096623170357734,0.48454458306007314,0.4073660671710968,0.05581479217066909,0.06742010694561583
13,0.44116012876350236,0.3904033303260803,0.07800458098036747,0.05997429912477415,0.4953554528793602,0.4017857015132904,0.0572803511764064,0.05319055354956424
14,0.4416180729656869,0.3956884443759918,0.07508470527318975,0.060085353974326426,0.49591315790559304,0.3939732015132904,0.055635804841012666,0.057541542342214876
15,0.44246938329809016,0.3912378251552582,0.07920080522846923,0.052063425773915824,0.469525701693739,0.4051339328289032,0.10123000144958497,0.0618075197393244
16,0.44048335842367076,0.39193323254585266,0.07836103909656021,0.05908058744280038,0.4856462689793923,0.4029017984867096,0.06977845827738444,0.05731199004433372
17,0.43374949951242087,0.3952712118625641,0.07851974473918516,0.05160009164549693,0.48120769546790554,0.3973214328289032,0.08269548560633803,0.06225063295075388
18,0.4361505528780517,0.39248958230018616,0.07650411128997803,0.050264380951390825,0.46803991864012046,0.4006696343421936,0.07265150185787317,0.04442665793678977
19,0.4409874717885846,0.39791378378868103,0.07962659331482351,0.05246847551400817,0.4718597742700667,0.4040178656578064,0.10120573621807677,0.055117526198878435
20,0.42244993543573156,0.3969402015209198,0.07151561134321013,0.052125300912466324,0.46016160934373285,0.4017857015132904,0.07119900674530955,0.049932617129701554
21,0.42104283354120764,0.39777469635009766,0.07031277676815328,0.05604569123257997,0.4633145104359948,0.4040178656578064,0.060758839231548886,0.0513495633096406
22,0.421369234393584,0.4000000059604645,0.0720036447681317,0.05320173746175578,0.45688330698193924,0.4006696343421936,0.08181960365988991,0.048486543424201736
23,0.44544498572035585,0.37510430812835693,0.07387529465063208,0.0556059480617911,0.47405139036815275,0.3984375,0.05741697513695919,0.0519550135641387
24,0.4326957219597574,0.39735743403434753,0.07510109184725332,0.05393057871660803,0.4848437465783773,0.3973214328289032,0.08817684000188654,0.05289925372961796
25,0.44440514267117,0.3757997155189514,0.07648483040842916,0.06106021606867881,0.49297934511507097,0.4017857015132904,0.07691309090816613,0.07557242277896765
26,0.442092123864309,0.38970792293548584,0.0883589829226365,0.05774183067096021,0.5069002309362545,0.3962053656578064,0.06617507790074204,0.03753752274946733
27,0.4548761605158623,0.39193323254585266,0.0741554160400298,0.059038933745284364,0.48794194638277544,0.4017857015132904,0.07920128215443004,0.06473722819126014
28,0.44036191327346147,0.393463134765625,0.0769023601310568,0.054488804072639105,0.4801233829873981,0.4017857015132904,0.055611582958337034,0.050047964038270894
29,0.4307784302126933,0.39777469635009766,0.07871040923461567,0.050438305676797454,0.4826737828270504,0.3962053656578064,0.08469443248979973,0.04606633475332549
30,0.43161544516542716,0.39554938673973083,0.07429987228332774,0.0476561422955827,0.4737654440754065,0.4006696343421936,0.0474562948400324,0.05229308532946038
31,0.4300832692279349,0.3968011140823364,0.08652571716511195,0.05403751786091621,0.4979077219624411,0.4017857015132904,0.06132902159835353,0.04260612906831684
32,0.43029865392904915,0.3962447941303253,0.06732097589191789,0.05459133753827201,0.4674028337453351,0.4029017984867096,0.08422114632346413,0.05434924472462047
33,0.434399590691854,0.3951321244239807,0.07505347849928375,0.05167249428484255,0.47155919641425664,0.3995535671710968,0.060785897572835285,0.06599864959716797
34,0.4364729278101918,0.39443671703338623,0.07474700009877114,0.04941004505649503,0.47223846735150526,0.3973214328289032,0.060383815476388644,0.05021248586250074
