trace_id;activity_ids
case_800;4,5,4,4,5,6,5,5,4,6,5,6,4,6,6,4,4,4,6,6
case_801;6,6,6,5,5,5,4,5,4,5,5,5,6,4,5,5,4,4,5,4
case_802;5,4,4,6,4,4,6,5,6,5,4,4,6,5,4,5,6,5,5,6
case_803;5,5,6,5,6,6,4,5,6,4,6,4,5,6,6,4,6,5,5,6
case_804;4,4,6,5,4,4,5,4,5,4,5,4,5,6,4,4,6,6,5,5
case_805;6,6,5,5,6,6,4,6,6,4,6,5,6,4,6,6,6,6,6,6
case_806;6,4,6,5,6,5,4,4,4,6,4,6,4,4,4,5,4,4,5,5
case_807;4,4,5,6,4,6,5,4,5,5,5,5,5,6,6,4,4,5,6,6
case_808;6,6,4,5,6,6,5,4,6,6,5,4,5,4,4,4,4,5,5,6
case_809;6,5,6,5,5,4,4,4,4,4,6,6,6,5,6,5,4,5,4,6
case_810;6,4,4,5,5,6,4,6,6,6,5,6,6,5,5,5,6,5,4,6
case_811;5,4,6,5,5,4,5,6,4,6,4,6,5,6,5,4,4,5,6,5
case_812;4,6,4,4,5,5,6,4,4,4,6,5,5,5,4,6,4,6,4,6
case_813;6,5,4,5,6,6,4,4,6,4,6,4,5,4,5,4,6,5,5,6
case_814;5,6,4,6,4,4,5,6,4,4,6,6,5,4,5,6,4,4,6,6
case_815;5,5,4,4,4,6,5,4,6,6,6,6,4,4,6,4,4,6,6,5
case_816;4,4,5,5,5,6,4,4,6,5,4,4,6,5,6,6,4,6,6,5
case_817;5,5,4,5,6,6,5,4,5,6,6,4,4,5,4,6,4,4,4,6
case_818;5,4,5,6,5,4,6,6,5,6,5,6,5,5,6,5,4,4,4,4
case_819;6,4,4,5,5,6,5,6,4,6,6,6,4,6,6,5,6,6,5,6
case_820;5,6,6,4,6,6,4,5,5,5,6,4,4,4,4,6,6,5,5,4
case_821;5,4,5,5,6,5,6,6,4,4,4,5,4,6,4,5,6,4,5,5
case_822;4,4,5,4,5,4,6,5,5,6,6,4,6,5,6,5,6,4,5,6
case_823;5,5,5,5,6,5,4,4,6,4,6,4,4,5,5,5,5,6,5,4
case_824;4,6,4,4,5,5,6,6,5,5,5,6,4,6,5,6,4,5,6,6
case_825;4,4,4,5,4,4,4,5,5,5,5,4,6,4,5,4,5,6,6,5
case_826;4,4,5,4,5,4,5,6,5,4,6,6,5,6,4,6,5,5,4,5
case_827;5,5,5,6,6,4,6,5,6,6,5,5,5,4,5,6,5,5,5,4
case_828;6,5,6,4,4,5,6,5,4,4,4,4,5,6,4,6,5,4,5,5
case_829;5,4,4,6,4,4,5,4,5,4,4,4,4,6,4,4,4,4,5,5
case_830;4,4,4,6,5,5,6,4,6,6,5,4,5,5,5,4,5,5,6,5
case_831;6,5,4,4,4,4,5,5,4,4,5,5,5,6,6,6,6,6,5,4
case_832;4,4,5,5,5,6,6,6,4,5,5,6,4,4,4,5,6,5,6,5
case_833;5,5,4,4,6,4,4,5,4,4,6,6,4,6,4,4,5,5,4,5
case_834;5,4,4,5,4,5,4,4,6,4,4,4,6,5,6,4,5,6,6,6
case_835;5,6,4,6,5,4,4,6,5,4,4,6,5,5,4,6,4,4,5,6
case_836;6,4,4,6,4,6,4,6,6,4,4,6,4,5,4,5,5,4,5,6
case_837;5,6,5,5,4,5,5,4,4,4,6,5,5,6,4,6,6,5,6,6
case_838;6,6,6,6,6,6,4,4,4,4,6,5,4,5,6,6,5,6,5,5
case_839;5,6,5,4,6,4,5,5,5,6,4,4,4,6,6,4,4,6,4,4
case_840;6,4,5,4,5,6,5,5,4,4,5,5,5,4,4,5,6,6,5,6
case_841;4,4,4,6,4,5,6,4,5,6,6,6,5,4,5,4,6,6,5,5
case_842;4,5,4,5,5,5,4,4,5,5,6,4,5,5,6,6,6,6,6,5
case_843;4,4,6,5,6,4,6,5,4,4,4,5,6,4,5,6,6,6,5,5
case_844;6,5,6,4,5,6,6,4,5,4,4,6,4,5,6,6,5,5,6,5
case_845;5,6,6,4,5,4,5,5,4,4,4,4,5,6,5,6,4,6,5,6
case_846;4,4,4,5,5,6,4,4,5,4,5,5,4,4,5,4,4,5,4,6
case_847;5,4,6,4,6,6,4,6,6,4,6,5,4,4,5,6,4,5,4,6
case_848;6,6,5,4,5,4,6,4,6,5,6,6,4,6,6,4,5,4,5,5
case_849;4,6,6,6,5,4,6,5,4,6,6,4,6,4,6,6,6,4,5,5
case_850;4,5,4,4,6,6,5,4,5,5,5,4,6,6,4,4,6,5,5,5
case_851;6,4,5,4,5,6,4,5,4,4,5,5,6,4,6,4,6,5,6,4
case_852;6,6,6,4,5,5,6,6,4,4,5,6,5,4,5,6,4,5,5,5
case_853;4,6,6,6,4,4,5,4,6,6,5,4,6,6,5,6,6,6,5,5
case_854;5,6,5,5,4,6,5,6,4,5,6,5,6,6,4,6,4,4,5,6
case_855;5,6,4,6,4,6,5,4,6,4,4,6,4,6,4,4,4,6,6,6
case_856;4,6,5,4,4,5,5,4,6,5,4,5,6,4,5,6,6,6,4,5
case_857;4,6,6,6,6,4,6,5,6,6,6,5,4,4,6,5,4,5,5,6
case_858;4,6,4,5,4,6,4,6,6,6,4,4,5,5,5,6,5,4,6,6
case_859;5,5,4,6,4,4,6,6,6,6,6,5,4,5,6,5,5,6,4,4
case_860;4,4,6,6,6,6,5,4,5,4,6,4,6,6,6,4,4,5,5,5
case_861;6,5,4,4,4,6,6,5,4,5,6,4,5,5,6,6,5,6,5,6
case_862;4,6,6,5,5,5,6,6,5,4,4,6,4,5,4,6,6,4,4,4
