epoch,train_loss,train_accuracy,"train_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))",val_loss,val_accuracy,"val_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))"
1,1.0249183850155936,0.32764551043510437,0.4318920506371392,0.9169017844729953,0.3492063581943512,0.4491867913140191
2,0.86604532831245,0.33359789848327637,0.43717082606421576,0.8889218449592591,0.3550264537334442,0.4529974831475152
3,0.8461732182237837,0.33492064476013184,0.43867461813820735,0.8720277309417724,0.35449734330177307,0.4000997543334961
4,0.8322592385941081,0.33664020895957947,0.4727089299096002,0.8583884014023675,0.3460317552089691,0.4944237815009223
5,0.8194735887977812,0.33789682388305664,0.47048824628194175,0.8446379714541965,0.34761905670166016,0.5230882856580946
6,0.8054621193144057,0.3400793671607971,0.47327562703026665,0.8261442886458503,0.3444444537162781,0.5600865258110894
7,0.7879261975487073,0.34298941493034363,0.48373168309529624,0.8051512148645189,0.37566137313842773,0.45948780907524955
8,0.7724242164029016,0.35674601793289185,0.4758201042811076,0.7924994733598497,0.3550264537334442,0.4619039535522461
9,0.763032544321484,0.3613756597042084,0.4763741095860799,0.7843754900826349,0.36084654927253723,0.4670272615220812
10,0.7553468017942375,0.37328043580055237,0.47848476436403065,0.7780497683419122,0.37037035822868347,0.531493526034885
11,0.7504323634836408,0.368320107460022,0.4875158058272468,0.7714969727728102,0.3682539761066437,0.4782747056749132
12,0.7463799427780841,0.3711640238761902,0.47680800358454384,0.768148445420795,0.3788359761238098,0.5280728022257487
13,0.745832221251395,0.369047611951828,0.4786076479487949,0.7654047403070662,0.3693121671676636,0.49167143503824867
14,0.7387397565361526,0.37268519401550293,0.4841508944829305,0.7586396118005116,0.38148146867752075,0.5102610694037544
15,0.7404245126992464,0.3661375641822815,0.4782077603869968,0.7590041504965888,0.3968254029750824,0.5376367780897352
16,0.7367160549594296,0.3728835880756378,0.48969070646497936,0.7563603907823563,0.3682539761066437,0.510499710506863
17,0.7349584923022323,0.3727513253688812,0.4910199999809265,0.7564257091946072,0.380952388048172,0.467189089457194
18,0.7329422637406323,0.3728835880756378,0.4968589703241984,0.7507698486248652,0.38835978507995605,0.53600066502889
19,0.7299698270029492,0.37162697315216064,0.49087184270222983,0.7471865991751353,0.3788359761238098,0.49133936564127606
20,0.7301953330222103,0.37056878209114075,0.49273633824454416,0.7459607170687781,0.3941798806190491,0.5310872395833334
21,0.7309426303125091,0.36633598804473877,0.5060218188497755,0.743571197324329,0.3931216895580292,0.5316966162787543
22,0.7264012397784326,0.37354496121406555,0.5050992197460599,0.7435820390780766,0.3761904835700989,0.5340059916178386
23,0.7276990238577128,0.3689153492450714,0.5052883956167433,0.7414211716916826,0.3761904835700989,0.48580523596869574
24,0.724518537045353,0.3738095164299011,0.5189861218134563,0.7458725816673702,0.38359788060188293,0.5377497355143229
25,0.7253920284410318,0.3719576597213745,0.5097613612810771,0.7417402199572987,0.39735448360443115,0.5252165582444933
26,0.7242727376313673,0.3749338686466217,0.5019380768140157,0.738198595907953,0.4079365134239197,0.5167550298902723
27,0.7220835686971744,0.3740079402923584,0.519537709818946,0.7397471768988504,0.3761904835700989,0.5848323398166233
28,0.7212023160730799,0.3740079402923584,0.5069375077883402,0.7371335986587736,0.3740740716457367,0.5046855926513671
29,0.7225718215107918,0.37460318207740784,0.5209871080186632,0.739074268605974,0.3968254029750824,0.5706418779161241
30,0.7189648113730881,0.3761904835700989,0.5239243533876207,0.7364833003944821,0.3978835940361023,0.5675223032633464
31,0.7186729981046583,0.3748015761375427,0.5226752042770386,0.7354999558793174,0.385185182094574,0.5541344748602973
32,0.7214267995415462,0.3761243522167206,0.5206101033422682,0.735908303823736,0.3772486746311188,0.5096970558166504
33,0.7164834586489531,0.3789682686328888,0.525940916273329,0.7339772231049008,0.37566137313842773,0.5809838400946723
34,0.7176293422468006,0.3811507821083069,0.5267923328611586,0.7350319193469154,0.38835978507995605,0.5587098015679254
35,0.7160887530383965,0.380092591047287,0.5261631343099806,0.7316377149687873,0.3941798806190491,0.5854700512356228
36,0.7171109230774972,0.38253968954086304,0.5334778441323175,0.7319839083486133,0.4010581970214844,0.5989774068196615
37,0.7158620570993258,0.37850528955459595,0.5423703352610271,0.7318311211135652,0.4015873074531555,0.5599620819091797
38,0.7131329694866306,0.37949734926223755,0.5402954432699415,0.7314390493763818,0.3698412775993347,0.5696503003438314
