trace_id;activity_ids
1-147898401;4,4,4,4
1-165554831;4,4,4
1-172473423;4,4,4
1-182640781;4,4,5,4,4,4,6
1-230541365;4,4,4,4,4
1-236817141;4,4,5,4,4,4,6
1-270427461;4,4,4
1-345132462;4,4,4,4,4
1-351314317;4,5,4,4,4,6
1-354350908;4,4
1-354376900;4,4
1-359841262;4,4,5,4,5,4,4,4
1-360464815;4,4,4,6
1-363206822;4,4,5,4
1-366698569;4,4
1-366726662;4,4
1-370436092;4,5,4,4
1-375644051;4,4,4,5
1-380632889;4,5
1-378050311;4,4,4,4,5,4,6
1-382209384;4,4,4
1-385201933;4,5,4,4,4,6
1-390250582;4,4,4,4
1-390722958;4,4,4,6
1-360072755;5,4,4,4
1-399013423;5
1-399628501;4,4
1-402328919;4,6
1-404005175;4,4,6
1-404084309;4,4,4,6
1-404736991;4,4,4,4,4,4,4,6
1-407876996;4,5
1-372029512;4,4,6
1-413205820;4,4,5,4,4,6
1-413665008;4,6
1-415000020;4,5,4,4,4,6
1-415822336;4,4,5,5,5,4,4
1-422418092;4,5,4,4
1-427955007;4,4,4,4,6
1-430880486;4,4,6
1-433910332;4,4,4,4,4,4,4
1-439833168;4,4,6
1-441507371;4,5
1-443175071;4,4,6
1-473084325;5,5,5,5,4,4,6
1-479002951;4,4,6
1-489198755;4,4,6
1-498324124;4,4,4
1-502769178;4,4,4,5
1-506092586;4,6
1-384097130;4,4,4
1-507679771;4,6
1-510399424;4,6
1-512617571;4,4,4,4,4,6
1-513031774;4,6
1-514618724;4,4,4,6
1-515461174;4,4,4,6
1-520127960;4,4,6
1-520705880;4,4,6
1-522222222;4,6
1-522460624;4,5
1-522949376;4,5
1-525589021;4,6
1-526037041;4,6
1-527208576;4,4,6
1-531872604;4,4,5
1-534493180;4,4
1-406066421;4,6
1-535439201;4,4,6
1-535418135;4,4,4,4,6
1-539000895;4,6
1-539083171;4,4,6
1-539805130;4,4,6
1-537169872;4,5
1-542027112;4,4,4,4
1-542919207;4,5
1-542940765;4,4,5,4,5,4,6
1-543300099;4,4,4
1-545738536;4,4,4
1-546838031;5,5,4,4,6
1-547617088;4,4,4,4,6
1-549431982;4,5
1-545911672;5,4,6
1-550611848;4,6
1-560404489;4,5,5,4,4,4,4,5
1-367921041;5,4,4,4,4,4,4,6
1-563779807;4,4,4,4
1-564738994;4,4,4,6
1-565905115;4,4,6
1-566096602;4,6
1-566661201;4,4,6
1-572078531;4,5,4
1-573830584;4,4,4,4,4,4,4,4,6
1-574222268;4,4,4,4,4,6
1-574623837;4,4,4,6
1-575690736;4,4,4,6
1-577996886;4,5,5,5,5,4,6
1-578105842;4,5,5
1-578252937;4,6
1-578612990;4,4,5,4,4,6
1-577737791;5
1-579250167;4,4,6
1-579636429;4,6
1-580464971;4,5,4,5,4
1-524375607;4,4,4,6
1-581740771;4,6
1-581898739;4,5,4,5,5,5,4,6,4
1-582296121;4,6
1-583931536;4,6
1-584776062;4,4,6
1-584812041;4,4
1-587383007;4,6
1-588543315;4,6
1-588712865;4,5,5,4,4,6
1-589370341;4,4,5,4
1-589421537;4,6
1-589962550;4,6
1-590574771;5,4,6,4,6
1-590579544;4,6
1-591627183;4,5,4,6
1-593312167;4,4
1-594472343;4,4,4,6
1-594666837;4,6
1-595293983;5,4,6,4,6
1-596251950;4,4,4,6
1-596331167;4,5
1-596608752;4,4,6
1-597616526;4,6
1-599157751;4,5,5,4,6
1-599626401;5,4,6
1-378744625;4,4,6
1-374832944;4,4,6
1-600432558;4,4
1-600663061;4,5,4,6
1-602870173;4,5,4,5,5,4,5,4,4,5
1-603798757;4,6
1-604882241;4,5,4,5
1-605279637;4,6
1-607158761;4,4,5
1-607840637;4,6
1-607934151;4,6
1-611506787;4,4,6
1-612515539;4,5,5
1-613033122;4,4,4,6
1-538297321;5,4
1-616288482;4,4,4,4
1-616409083;4,6,4,6
1-616993936;4,5,5
1-616977258;4,4,4,6
1-617049384;4,6
1-617084616;4,4,6
1-617356985;4,6,4,4,5
1-617696569;4,6,4,6,4,6
1-618041243;4,5,4,4,6
1-618116069;4,5,4,4,6
1-618589528;4,4,4
1-619067777;4,5,4,4
1-619146141;5
1-619254483;4,6
1-619699161;4,5,4,6,4,4,6
1-620015297;4,6
1-619109941;5,4,5,5,5,5,4
1-620432583;4,5,4,4,4,6
1-620483711;4,5,5,4
1-620925267;4,4,4
1-621039603;4,6
1-621322866;4,6
1-621311061;4,6,4,4,6,4,6,4,6
1-621393223;4,5,5,4,4,6
1-622295317;4,4,6
1-622618613;4,5,4,4,6
1-622652886;4,6
1-622783644;4,4,4,6
1-622856843;4,6
1-622940906;4,4,6
1-622847448;4,4
1-623873811;4,5,4,4,6
1-624219528;4,6
1-624450715;4,4,6
1-624745314;4,6
1-625322174;4,5
1-625459293;4,5,4,4,6
1-626515794;4,4,4
1-627630611;4,5
1-628078553;4,6
1-628105478;4,4
1-628203323;4,4,4,4,4,4,6
1-628669941;4,6
1-354039443;4,6
1-357087417;4,6
1-631001113;4,6
1-631117870;4,4,4,5,5,4,6
1-380654568;4,6
1-634487640;4,6
1-634506651;4,6
1-634533656;4,6
1-366923538;4,6
1-392812598;4,6
1-635382525;4,6
1-636080278;4,5,5,4
1-636102195;4,4,5,4,4,6
1-636931254;4,4,4,5,4,5,4,6,4,5,4,4,6,4,4,4,6,4,6
1-636852199;4
1-366584206;4,6
1-637059802;4,6
1-637089310;4,4,4,4,6
1-637713651;4,6
1-513180623;4,6
1-637713545;4,5
1-624403918;5
1-637893062;4,4,4,6
1-638091067;4,6,4,4,5,4,4,6
1-639881579;4,6
1-639942581;4,4,4,6
1-640059801;4,6
1-640254885;4,5
1-640387614;4,4,5,5
1-641023492;4,6
1-641083751;4,4,4,6
1-641083987;4,4,4,6
1-641243011;4,4,4,4,4,6
1-518362551;4,6
1-641323677;4,4,4,6
1-641306231;4,6
1-641530471;5
1-642766943;4,4,4,6
1-642846054;4,4,6
1-643556695;4,6
1-643706642;4,4,6
1-644748889;4,6
1-644992956;4,4,4,6
1-647796802;4,4,4,6
1-363549934;4,6
1-364528467;4,6
1-647841758;4,6,4,5
1-649887393;4,6
1-650123293;4,4,4,6
1-650135511;4,6
1-650892393;4,6
1-652270498;4,6
1-538467021;4,6
1-652874271;4,6
1-652925445;4,6
1-653254236;4,4,6
1-653314473;5,4,6
1-653989471;5,4,4
1-523069229;4,6
1-373413519;4,6
1-417868043;4,6
1-517002080;4,6
1-510142147;4,4,6
1-429498598;4,4,6
1-372978779;4,6
1-431797119;4,6
1-388644366;4,6
1-655536176;4,6
1-517045062;4,6
1-397446945;4,6
1-403006315;4,6
1-656510751;4,6,4,6
1-656868426;4,4,4,6
1-657063150;4,5,4,5,4
1-657163590;4,4,6
1-657368644;4,6
1-657768145;4,4,6
1-658092528;4,6
1-530147896;4,6
1-433309965;4,6
1-533851634;4,6
1-574271413;4,6
1-373110819;4,6
1-373268674;4,6
1-373413971;4,6
1-380392616;4,6
1-380527184;4,6
1-382442048;4,6
1-384757914;4,6
1-385311756;4,6
1-408853759;4,6
1-418122119;4,6
1-419236954;4,6
1-422877530;4,6
1-577196856;4,6
1-424065923;4,6
1-659231191;4,6
1-659376592;4,6
1-659539868;4,6
1-659618631;4,6
1-545370610;4,6
1-532084405;4,6
1-511787661;4,6
1-564903210;4,6
1-572625937;4,6
1-522734472;4,6
1-541565290;4,6
1-659922661;4,5
1-660393401;4,4,6
1-660786538;4,4,6
1-660873096;4,6
1-660903884;5,4,6
1-660949435;4,6
1-661231558;4,6
