trace_id;activity_ids
Case 4183;4,8,6,7
Case 3802;10,4,6,7
Case 2232;4,6,7
Case 1764;4,8,6,6,7
Case 1663;4,6,7
Case 1858;4,6,7
Case 2643;4,6,7
Case 1519;4,6,6,7
Case 1918;4,6,7
Case 380;4,6,7
Case 2956;4,9,6,7
Case 169;4,6,7
Case 1987;4,9,6,7
Case 807;4,8,6,7
Case 1603;4,6,6,7
Case 529;4,9,9,6,7
Case 554;4,6,7
Case 106;4,6,7
Case 3444;4,11,11,16,16,8,6,7
Case 1650;4,11,11,16,16,8,6,7
Case 1023;4,6,6,7
Case 447;4,6,7
Case 2229;4,9,6,7
Case 2593;4,8,6,7
Case 1088;4,6,6,7
Case 2157;4,6,6,7
Case 129;4,6,7
Case 2037;4,6,7
Case 3046;4,9,6,7
Case 2616;4,9,6,7
Case 1254;4,4,9,9,6,7
Case 3338;4,8,6,7
Case 2881;4,8,8,6,7
Case 980;4,4,6,7
Case 2849;4,6,6,7
Case 3913;4,6,7
Case 2177;4,9,9,6,7
Case 2381;4,4,4,6,6,7
Case 4530;4,4,6,7
Case 1843;4,4,6,7
Case 3226;4,6,7
Case 1309;4,6,7
dummy;5,12,13,14,15,17,5,5,5,5,5,5,5,5,5
Case 1384;4,6,6,7
Case 4031;4,6,6,7
Case 4532;4,6,7
Case 2988;4,6,6,7
Case 2022;4,4,4,9,6,7
Case 4417;4,9,6,6,7
Case 346;4,9,9,6,7
Case 3888;4,6,7
Case 1535;4,4,4,6,7
Case 3239;4,6,7
Case 1210;4,9,6,7
Case 367;4,9,9,6,7
Case 3077;4,8,6,7
Case 1735;4,8,6,6,7
