epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))"
1,1.2083616128069654,0.8396183252334595,0.02964944736540107,1.1394289585692805,0.8308039307594299,0.011056291137240696
2,1.0260431243265267,0.8498896956443787,0.026260850456635697,1.1114864704097307,0.8304282426834106,0.03192191091177571
3,1.0396411557856773,0.8501615524291992,0.022185585049938842,1.1643262933569485,0.850601077079773,0.05301665503893124
4,1.0139833056179,0.8502883911132812,0.021131598353898336,1.013708175215964,0.8471074104309082,0.02570018866665041
5,0.9911770240410103,0.8508321046829224,0.01648907183644332,1.0695444046740858,0.8453794121742249,0.009128265839847013
6,0.9871323976505754,0.8515570163726807,0.015242379628800084,1.1859646611678756,0.8537565469741821,0.018041230960143623
7,0.9911658206145894,0.8539855480194092,0.015424812610949426,1.3250013310617592,0.8409090638160706,0.02383664566838532
8,0.9934339100695195,0.851969301700592,0.014691313912481574,1.2439147687531575,0.8416603803634644,0.015123428507922167
9,0.982955977444863,0.8531926274299622,0.015036675157764714,1.1877366124296336,0.8507137298583984,0.01605846237098105
10,0.9771485115424327,0.8535686731338501,0.015367633304164156,1.1845278960087078,0.851803183555603,0.01241833741105723
11,0.9693093482870514,0.8540399074554443,0.014988572871472093,1.0116867651591266,0.8577385544776917,0.019841136415101265
12,0.9866904313001572,0.8542346954345703,0.015031763789692267,1.0095831830980584,0.8389557003974915,0.015400520620499064
13,0.9857398173968056,0.8540987968444824,0.015319178832933478,1.0023183702252254,0.858527421951294,0.012989356191764815
14,0.9830391737113384,0.8545292019844055,0.015576974427145502,1.0083092224026773,0.8524042367935181,0.014399235443453283
15,0.9892268669254612,0.8552722930908203,0.01479983382152616,1.0390529096446803,0.8519158363342285,0.012925682220866973
16,0.967654293462589,0.8545655012130737,0.015348336566586539,1.027477629004568,0.8577385544776917,0.016154888661605332
17,0.9775383527357078,0.8550321459770203,0.014930600137990233,1.0595901630324258,0.8520285487174988,0.019067887953895937
18,0.9712100062238322,0.8544068932533264,0.014900374189353693,1.0539816504454738,0.8553343415260315,0.022661039900287953
19,0.9826353812067984,0.8558023571968079,0.014755550513967583,1.0452539399506975,0.8460931777954102,0.014232086352121748
20,0.9762144523941565,0.8554987907409668,0.015317002127557489,1.009275246991617,0.8589406609535217,0.019737955083184065
21,0.9818770936878677,0.855598509311676,0.015440044333388442,1.0574008174277338,0.8515777587890625,0.013779936536201728
22,0.9792376507609021,0.8550638556480408,0.015191501311261102,1.019284468263901,0.850939154624939,0.015730987075998
23,0.9764003161200511,0.8553311824798584,0.015078890504690374,1.052697316519053,0.8580390810966492,0.016253825268552357
24,0.9719061038486441,0.8565409183502197,0.014927106129541269,1.1738344980683837,0.8564612865447998,0.01257977684187106
25,0.9779978284206186,0.8560968637466431,0.015003947123539278,1.0628450159315654,0.8527798652648926,0.011595765172843263
26,0.9793147929202549,0.8552722930908203,0.014815424344682889,1.1360774078020952,0.8460180163383484,0.015780355567873845
27,0.9857900169734776,0.8549007773399353,0.01533203299674802,1.0760775866676295,0.8575507402420044,0.014109173742662958
28,0.9802748320117044,0.855421781539917,0.014954980925737542,1.0889769885337266,0.8573253154754639,0.018276094024285185
29,0.9810270503449001,0.8564503192901611,0.014938151965067054,1.1446887931728247,0.848046600818634,0.021924860428270264
30,0.975365995961504,0.8542075157165527,0.014915772183074208,1.1644444594395296,0.8551840782165527,0.01762170277996952
