trace_id;activity_ids
206327;4,5,6,7,7,7,7,22,7
206330;4,5,22
206333;4,5,6,7,7,7,7,7,7,7,7,8,9,10,11,12,13,7,13,9,20,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,20
206336;4,5,24,24,24,24,24,24,6,7,24,7,8,9,10,11,12,13,7,13,20,9,11,12,13,13,13,13,13,13,13,13,13,13,13,20,23,13
206339;4,5,6,7,7,8,9,10,11,12,13,7,13,13,13,13,13,14,15,13,15,15,15,18,19,17,16,15
206342;4,5,6,7,7,7,7,7,7,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,13,13,14,15,13,15,15,15,15,15,25,22,15
206345;4,5,6,7,7,22,7
206348;4,5,6,7,7,7,7,7,7,7,7,7,7,8,10,9,11,12,13,7,13,13,13,13,13,14,15,13,15,15,15,22,25,15
206351;4,5,6,7,7,7,7,7,7,7,7,7,7,8,9,10,11,12,13,7,13,20,9,11,12,13,13,13,9,20,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,26,26,26,26,26,26,26,26,15,26,15,15,15,17,18,16,19,15
206354;4,5,24,24,22,24
206357;4,5,6,7,7,8,9,10,11,12,13,7,13,20,9,11,12,13,13,13,9,20,11,12,13,13,13,20,9,11,12,13,13,13,13,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,26,26,26,26,26,26,20,9,11,12,26,26,26,26,26,20,23,26
206360;4,5,6,7,7,7,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,26,26,15,26,15,16,17,18,19,15
206363;4,5,22
206366;4,5,6,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,13,13,13,13,13,13,23,20,13
206369;4,5,6,7,7,7,7,8,10,9,11,12,13,7,13,23,20,13
206372;4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,8,10,9,11,12,13,7,13,20,9,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,20
206375;4,5,24,24,6,7,24,7,7,7,22,7
206378;4,5,22
206381;4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23
206384;4,5,6,7,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,23
206387;4,5,22
206390;4,5,24,24,24,24,6,7,24,7,7,7,22,7
206393;4,5,24,24,22,24
206396;4,5,24,24,22,24
206399;4,5,6,7,7,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,13,13,13,13,23,20,13
206402;4,5,22
206405;4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23
206408;4,5,6,7,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,15,26,15,18,19,16,17,15
206411;4,5,6,7,7,7,7,7,7,7,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,23
206414;4,5,24,24,24,24,6,7,24,7,7,7,7,7,7,7,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,23,20,13
206417;4,5,6,7,7,7,7,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,20,13
206420;4,5,6,7,7,7,7,8,9,10,11,12,13,7,13,14,15,13,15,15,15,9,20,11,12,26,15,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,14,15,26,15,18,16,19,17,15
206423;4,5,6,7,7,8,10,9,11,12,13,7,13,20,23,13
206426;4,5,24,24,24,24,24,24,22,24
206429;4,5,24,24,22,24
206432;4,5,24,24,6,7,24,7,7,7,7,7,8,10,9,11,12,13,7,13,13,13,14,15,13,15,26,15,26,23,20,26
206435;4,5,24,24,22,24
206438;4,5,24,24,6,7,24,7,8,10,9,11,12,13,7,13,14,15,13,15,26,15,26,15,26,15,19,18,16,17,15
206441;4,5,24,24,6,7,24,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,9,20,11,12,13,13,13,13,13,13,13,13,13,14,15,13,15,25,22,15
206444;4,5,6,7,7,8,10,9,11,12,13,7,13,14,15,13,15,26,15,26,26,26,26,26,26,26,26,26,26,26,26,26,15,26,15,18,19,17,16,15
206447;4,5,6,7,7,7,7,8,10,9,11,12,13,7,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,25,22,26
206450;4,5,24,24,6,7,24,7,7,7,23,7
206453;4,5,6,7,7,8,10,9,11,12,13,7,13,14,15,13,15,15,15,26,15,26,26,26,15,26,15,15,15,26,15,26,26,26,26,26,15,26,15,26,15,26,26,26,26,26,26,26,26,26,15,26,15,15,15,18,19,17,16,15
206456;4,5,24,24,6,7,24,7,8,10,9,11,12,13,7,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,15,26,15,15,15,26,15,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,15,26,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,16,17,19,15
206459;4,5,24,24,22,24
206462;4,5,22
206465;4,5,24,24,6,7,24,7,7,7,22,7
206468;4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23
206471;4,5,6,7,7,7,7,7,7,8,10,9,11,12,13,7,13,13,13,14,15,13,15,26,15,26,15,26,15,18,19,17,16,15
206474;4,5,24,24,6,7,24,7,7,7,22,7
206477;4,5,6,7,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,23,20,13
206480;4,5,6,7,7,7,7,8,9,10,11,12,13,7,13,14,15,13,15,26,15,26,26,26,15,26,15,26,15,26,26,26,15,26,15,16,18,17,19,15
206483;4,5,6,7,7,8,10,9,11,12,13,7,13,14,15,13,15,18,17,19,16,15
206486;4,5,22
206489;4,5,6,7,7,8,9,10,11,12,13,7,13,13,13,14,15,13,15,15,15,26,15,26,26,26,15,26,15,18,16,19,17,15
206492;4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,22,7
206495;4,5,24,24,22,24
206498;4,5,24,24,22,24
206501;4,5,24,24,22,24
206504;4,5,6,7,7,7,7,8,10,9,11,12,13,7,13,13,13,13,13,13,13,13,13,20,23
206507;4,5,6,7,7,23,7
206510;4,5,24,24,6,7,24,7,7,7,7,7,7,7,8,10,9,11,12,13,7,13,9,20,11,12,13,13,13,13,13,13,13,14,15,13,15,26,15,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,15,26,15,20,9,11,12,26,15,26,16,17,18,19,26
206513;4,5,6,7,7,8,10,9,11,12,13,7,13,13,13,14,15,13,15,26,15,26,26,26,26,26,15,26,15,18,17,16,19,15
206516;4,5,22
206519;4,5,6,7,7,7,7,8,9,10,11,12,13,7,13,9,20,11,12,13,13,13,13,13,13,13,13,13,14,15,13,15,9,20,11,12,26,15,26,18,16,17,19,26
206522;4,5,6,7,7,23,7
206525;4,5,22
206528;4,5,6,7,7,7,7,7,7,8,9,10,11,12,13,7,13,13,13,13,13,14,15,13,15,15,15,15,15,26,15,26,26,26,26,26,26,26,26,26,26,26,23,20,26
206531;4,5,24,24,6,7,24,7,7,7,7,7,7,7,7,7,7,7,7,7,23,7
206534;4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,7
206537;4,5,22
206540;4,5,22
206543;4,5,6,7,7,8,9,10,11,12,13,7,13,13,13,13,13,13,13,14,15,13,15,15,15,15,15,26,15,26,26,26,26,26,26,26,15,26,15,17,18,19,16,15
