trace_id;activity_ids
Case 2592;4,5,6,7
Case 1801;4,5,6,7
Case 882;4,5,6,7
Case 1505;4,5,6,7
Case 293;4,5,6,7
Case 4522;4,5,9,6,7
Case 613;4,5,6,7
Case 4461;4,5,6,7
Case 3353;4,5,6,7
Case 2684;4,4,4,5,6,7
Case 573;4,5,9,6,7
Case 2388;4,5,6,7
Case 2440;4,5,6,7
Case 29;4,5,6,7
Case 1630;4,5,6,7
Case 2096;4,5,6,7
Case 2789;4,5,6,7
Case 261;4,5,6,7
Case 2342;4,5,9,9,6,7
Case 2374;4,5,6,7
Case 4106;4,5,6,7
Case 1116;4,5,6,7
Case 2415;4,5,6,7
Case 1122;4,5,6,7
Case 1817;4,5,6,7
Case 4037;4,5,6,7
Case 3885;4,5,6,7
Case 910;4,5,6,7
Case 2534;4,5,6,7
Case 1102;4,5,6,6,7
Case 533;4,5,6,7
Case 829;4,5,6,7
Case 2474;4,5,6,7
Case 3413;4,5,9,6,7
Case 1112;4,5,9,9,6,7
Case 1466;4,5,6,7
Case 1587;4,5,9,6,7
Case 2167;4,5,6,7
Case 2791;4,5,6,7
Case 1787;4,5,9,9,6,6,7
Case 4469;4,5,6,7
Case 292;4,5,6,7
Case 2074;4,5,6,7
Case 3095;4,5,6,7
Case 954;4,5,6,7
Case 3844;4,5,6,7
Case 2847;4,5,6,7
Case 1101;4,5,6,7
Case 1791;4,5,6,7
Case 80;4,5,6,7
Case 242;4,5,6,7
Case 4355;4,5,6,7
Case 3341;4,5,6,7
Case 3738;4,5,6,7
Case 3002;4,5,6,7
Case 2634;4,5,6,7
Case 397;4,5,6,7
Case 2390;4,5,6,7
Case 427;4,5,6,7
Case 4422;4,5,6,7
Case 4269;4,5,9,6,7
Case 2187;4,5,6,7
Case 3182;4,5,9,6,7
Case 4030;4,5,6,7
Case 3428;4,5,6,7
Case 3898;4,5,6,7
Case 755;4,5,6,7
Case 876;4,5,9,6,7
Case 2908;4,5,6,7
Case 3511;4,5,6,7
Case 3086;4,5,6,7
Case 1815;4,5,6,7
Case 3943;4,5,6,7
Case 2296;4,5,6,7
Case 1075;4,5,6,7
Case 3083;4,5,9,6,7
Case 4394;4,5,6,7
Case 483;4,5,6,7
Case 1356;4,5,6,7
Case 3180;4,5,6,7
Case 2609;4,5,9,6,7
Case 2367;4,5,6,7
Case 4282;4,5,6,7
Case 3260;4,5,6,7
Case 2220;4,5,6,7
Case 3638;4,5,6,7
Case 40;4,5,6,7
Case 1290;4,5,6,7
Case 4054;4,5,6,7
Case 1185;4,5,6,7
Case 247;10,5,6,7
Case 1968;4,5,6,7
Case 2854;4,5,6,7
Case 3249;4,5,8,8,5,6,6,7
Case 3654;4,5,6,7
Case 4162;4,5,6,7
Case 2455;4,5,9,6,7
Case 3240;4,5,6,7
Case 4396;4,5,6,7
Case 2431;4,5,6,7
Case 2607;4,5,6,7
Case 3188;4,5,6,7
Case 2875;4,5,9,6,7
Case 1887;4,5,6,7
Case 2097;4,5,6,7
Case 3864;4,5,6,7
Case 3288;4,5,9,6,6,7
Case 3027;4,5,6,7
Case 1313;4,5,6,7
Case 4326;4,5,9,6,7
Case 2403;4,5,6,7
Case 1332;4,5,6,7
Case 4365;4,5,9,6,7
Case 4068;4,5,6,7
Case 3657;4,5,6,7
Case 503;4,5,11,8,6,7
Case 1682;4,5,6,7
Case 2504;4,5,9,6,7
Case 3214;4,5,11,6,7
Case 324;5,6,7
Case 4359;4,5,9,6,7
Case 1017;4,5,9,6,6,7
Case 1946;4,5,6,7
Case 4082;4,5,8,6,7
Case 3426;4,5,6,7
Case 4048;4,5,6,7
Case 498;4,5,6,6,7
Case 2380;4,5,9,5,6,7
Case 2714;4,5,6,7
Case 2603;4,5,6,7
Case 478;4,4,5,9,6,7
Case 3071;4,5,11,8,6,7
Case 502;4,5,6,7
Case 1813;4,5,9,6,7
Case 2713;4,5,9,6,7
Case 769;4,5,6,7
Case 3933;4,5,6,7
Case 622;4,5,11,6,7
Case 520;4,5,6,6,7
Case 962;4,5,6,7
Case 253;4,5,6,7
Case 1580;4,5,9,6,7
Case 2674;4,5,9,5,6,7
Case 4456;4,5,9,6,7
Case 1615;4,5,9,6,7
Case 4398;4,5,9,5,9,6,7
Case 2676;4,5,6,7
Case 4478;4,5,9,5,6,7
Case 2013;4,5,6,7
Case 1449;4,9,5,9,6,7
Case 4487;4,5,6,7
Case 2290;4,5,9,6,7
Case 1792;4,5,6,7
Case 2108;4,5,6,7
Case 2490;4,4,5,9,6,7
Case 1903;4,5,9,6,7
Case 1;4,5,5,6,7
Case 2279;4,5,9,6,7
Case 1179;4,5,9,6,7
Case 1007;4,5,6,7
Case 435;4,5,8,6,7
Case 2447;4,5,5,6,7
Case 4154;4,5,6,7
Case 3542;4,5,9,6,7
Case 708;4,5,9,6,7
Case 1145;4,5,9,6,7
Case 638;4,5,9,5,9,6,7
Case 2949;4,5,9,6,7
Case 4369;4,5,9,6,7
Case 3957;4,5,5,6,7
Case 4558;4,5,9,6,7
Case 2897;4,5,8,5,6,7
Case 233;4,5,9,6,7
Case 3543;4,5,9,6,7
Case 3865;4,5,8,6,7
Case 780;4,5,9,6,7
Case 2081;4,5,8,6,7
Case 2104;4,5,8,6,7
Case 2716;4,5,9,6,7
Case 3016;4,4,5,6,7
Case 3044;4,5,6,7
Case 1924;4,5,6,7
Case 2826;4,5,9,6,7
Case 4501;5,9,5,9,6,7
Case 3059;4,5,8,6,7
Case 2197;4,5,9,6,7
Case 2328;4,5,6,7
Case 2558;4,5,9,6,7
Case 46;4,5,5,9,6,7
Case 821;4,5,6,7
Case 1043;4,5,9,6,7
Case 480;4,5,6,7
Case 105;4,5,9,6,7
Case 2681;4,5,9,6,7
Case 1096;4,5,6,7
Case 2452;4,5,9,6,7
Case 1070;4,5,6,5,9,6,7
Case 3498;4,5,6,7
Case 3439;5,6,5,9,5,9,6,7
Case 1772;4,5,9,6,7
Case 3376;4,5,6,7
Case 951;4,5,9,6,7
Case 1176;4,5,9,6,7
Case 1111;4,5,9,5,6,7
Case 998;4,5,9,6,7
Case 2152;4,5,9,6,7
Case 3078;4,5,9,6,7
Case 757;4,5,8,9,6,7
Case 2253;5,9,6,7
Case 374;4,5,9,6,7
Case 2083;4,5,6,7
Case 3009;4,5,9,5,6,7
Case 959;4,5,6,7
Case 1396;4,5,6,7
Case 4424;4,5,9,6,7
Case 4004;5,6,6,7
Case 1771;4,5,6,7
Case 1272;4,5,6,7
Case 378;4,5,6,7
Case 1104;4,5,6,7
Case 13;4,5,6,7
Case 3976;4,5,9,6,7
Case 506;4,5,8,6,7
Case 2300;4,5,8,8,11,8
Case 3128;4,5,6,7
Case 23;4,5,6,7
Case 343;4,5,9,6,7
Case 1315;4,5,9,6,7
Case 4338;4,5,9,5,9,6,7
Case 4535;4,5,6,7
Case 2473;4,5,9,5,9,6,7
Case 143;4,5,9,6,7
Case 566;4,5,9,5,9,6,7
Case 399;4,5,6,7
Case 383;10,9,9
Case 4485;4,5,9,6,7
Case 875;4,5,6,7
Case 4370;10,9,9
Case 2541;5,6,7
Case 3373;4,5,6,7
Case 691;4,5,6,7
Case 3253;4,5,6,7
Case 4160;4,5,6,7
Case 1249;10,9,9,9,9
Case 2481;4,5,8,6,7
Case 3231;4,5,6,7
Case 4145;4,5,6,7
Case 1795;4,5,9,6,7
Case 1776;4,5,6,7
Case 1057;4,5,8,9,6,7
Case 2239;4,5,6,6,5,9,6,7
Case 2176;4,5,6,7
Case 3331;4,5,6,7
Case 1359;10,9,9
Case 2465;4,5,6,7
Case 805;4,5,9,6,7
Case 2668;4,4,5,8,6,7
Case 147;4,5,6,7
Case 3601;4,5,6,7
Case 3126;4,5,9,6,7
Case 2765;4,5,9,9,6,7
Case 2163;4,5,9,6,7
Case 1664;5,6,7
Case 626;4,5,9,6,7
Case 3532;4,5,6,7
Case 1754;4,5,9,6,7
Case 2499;4,5,9,6,7
Case 3351;4,5,6,6,7
Case 3676;4,5,6,6,7
Case 3745;4,5,9,6,7
Case 930;4,5,6,7
Case 3015;4,5,8,6,7
Case 939;4,5,9,9,6,7
Case 679;4,5,6,7
Case 1831;4,5,9,6,7
Case 3535;4,5,6,7
Case 4067;4,5,6,7
Case 603;4,5,6,6,7
Case 2599;4,5,9,6,7
Case 701;4,5,6,7
Case 2093;4,5,6,7
Case 4147;4,5,9,6,7
Case 988;4,5,9,6,7
Case 487;4,5,6,7
Case 2962;4,5,9,6,7
Case 1704;4,5,6,7
Case 2891;4,5,9,6,7
Case 1894;4,5,6,7
Case 2391;4,5,6,7
Case 1301;4,5,9,6,7
Case 2614;4,5,9,6,7
Case 408;4,4,5,9,6,7
Case 1386;4,5,6,6,7
Case 1193;4,5,6,7
Case 2550;4,5,9,9,6,6,7
Case 728;4,5,6,7
Case 154;4,5,9,6,7
Case 3273;4,5,6,7
Case 1087;4,5,9,6,5,6,7
Case 3552;4,5,6,7
Case 2267;4,5,9,6,7
Case 4009;4,5,9,6,7
Case 984;5,6,7
Case 3184;4,5,9,6,7
Case 262;4,5,9,6,9,6,7
Case 2964;4,5,9,6,7
Case 3539;4,5,6,7
Case 2834;4,5,9,6,7
Case 2134;4,9,5,6,7
Case 1275;4,5,6,7
Case 2330;4,5,6,7
Case 4069;4,5,6,7
Case 3294;4,5,9,5,6,7
Case 3530;4,5,6,7
Case 4324;4,5,6,7
Case 1812;4,5,6,7
Case 2203;4,5,6,7
Case 4352;4,5,9,6,7
Case 414;4,4,5,6,7
Case 1655;4,5,6,7
Case 4107;4,5,9,9,6,7
Case 2971;4,5,6,7
Case 645;4,5,6,7
Case 676;5,9,6,7
Case 964;4,5,6,7
Case 3056;4,5,6,7
Case 3382;4,5,6,7
Case 1441;4,5,6,7
Case 1124;4,5,6,7
Case 348;4,5,6,7
Case 1604;4,5,9,6,7
Case 3010;4,5,9,6,7
Case 2992;4,5,9,6,7
Case 370;4,5,6,7
Case 1471;4,5,8,6,7
Case 2514;4,5,9,9,6,7
Case 1054;4,5,9,6,7
Case 3037;4,5,9,6,7
Case 2007;4,5,8,6,6,7
Case 2398;4,5,9,6,7
Case 3662;4,5,9,9,6,7
Case 1292;4,5,6,7
Case 2851;4,5,6,7
Case 412;4,5,9,6,7
Case 4385;4,4,5,6,7
Case 4389;4,5,8,6,7
Case 4073;4,5,9,6,7
Case 3418;4,5,8,6,7
Case 989;4,5,9,6,7
Case 999;4,5,6,7
Case 2591;4,5,9,6,7
Case 3043;4,5,6,7
Case 65;4,5,9,6,7
Case 3656;4,5,9,9,6,7
Case 2141;4,5,6,7
Case 782;4,5,9,6,7
Case 3692;4,6,5,6,7
Case 1144;4,6,5,8,6,7
Case 115;4,5,9,9,6,7
Case 1019;4,5,9,6,7
Case 2700;4,5,9,6,7
Case 2399;4,5,5,6,7
Case 3073;4,5,9,6,7
Case 1388;4,5,8,8,6,7
Case 308;4,5,6,7
Case 3344;4,6,6,5,6,6,7
Case 906;4,5,6,7
Case 3645;4,5,8,6,7
Case 3262;4,5,6,7
Case 4156;4,5,9,6,7
Case 1487;4,5,6,7
Case 1868;4,5,9,6,7
Case 15;4,4,5,6,7
Case 527;4,9,4,4,5,6,7
Case 3398;4,5,6,7
Case 2659;4,5,9,9,5,6,7
Case 824;4,5,6,7
Case 349;4,5,9,6,7
Case 1261;5,5,6,7
Case 553;4,5,9,6,7
Case 3963;4,5,8,8,6,6,7
Case 1495;4,5,8,8,6,7
Case 3229;4,5,6,7
Case 2228;4,5,6,7
Case 331;4,5,8,6,7
Case 2268;4,5,6,7
Case 4206;4,5,6,7
Case 3139;4,5,8,5,6,7
Case 4361;4,5,8,6,7
Case 963;4,5,6,7
Case 3551;4,5,9,6,7
Case 3403;4,5,6,7
Case 2577;4,5,6,7
Case 4165;4,4,5,9,6,7
Case 89;4,5,6,7
Case 557;5,6,7
Case 2866;4,5,9,6,7
Case 1574;4,5,6,7
Case 332;4,5,9,6,7
Case 1303;4,5,8,6,7
Case 2741;4,5,6,7
Case 656;4,5,9,6,6,7
Case 2476;4,5,8,6,7
Case 2142;4,5,6,7
Case 2021;4,5,9,6,7
Case 1409;4,5,6,7
Case 1366;4,5,9,6,7
Case 825;4,5,6,7
Case 18;4,5,6,6,7
Case 1681;4,5,9,6,7
Case 1164;4,5,6,7
Case 4407;4,5,9,6,7
Case 1142;4,5,9,8,9,6,7
Case 1826;4,5,9,6,7
Case 1869;4,5,6,7
Case 4127;4,5,6,7
Case 4575;4,5,9,6,7
Case 63;4,5,6,7
Case 1718;4,5,9,6,7
Case 3678;4,5,6,7
Case 532;4,5,6,5,9,6,7
Case 1001;4,5,6,7
Case 326;4,5,8,8,6,7
Case 1304;4,5,9,6,7
Case 1553;4,5,6,7
Case 2201;4,5,6,7
Case 2873;4,5,9,6,7
Case 4026;4,5,9,11,8,6,7
Case 732;4,11,5,11,8,15,17,6,7
Case 1506;4,9,9,5,6,6,7
Case 2598;4,5,6,7
Case 12;4,5,6,7
Case 2970;4,5,8,9,6,7
Case 3819;4,5,9,6,7
Case 1432;4,5,6,7
Case 3832;4,5,9,9,6,5,6,7
Case 4415;4,5,6,7
Case 1501;5,6,6,7
Case 4423;4,4,5,6,7
Case 3663;4,5,9,6,7
Case 2183;4,5,9,6,7
Case 4197;4,4,4,5,6,7
Case 2362;5,9,6,7
Case 3448;4,5,6,7
Case 747;4,5,9,6,7
Case 2770;4,5,6,7
Case 2348;4,5,9,6,7
Case 1761;4,5,6,7
Case 3899;4,5,9,6,7
Case 1318;4,5,8,6,7
Case 3034;4,5,9,6,7
Case 97;4,5,6,7
Case 3440;4,5,9,6,7
Case 3766;4,5,9,6,7
Case 1238;4,5,9,8,6,7
Case 949;4,5,6,7
Case 2596;4,5,9,6,7
Case 3360;4,5,6,7
Case 841;4,5,6,7
Case 2315;4,5,6,7
Case 4301;4,5,9,6,7
Case 313;4,5,9,8,9,6,6,7
Case 2848;4,5,9,6,7
Case 3035;4,5,6,7
Case 2984;4,5,6,6,7
Case 69;4,5,6,7
Case 1305;4,5,6,7
Case 2215;4,5,6,7
Case 3145;4,5,9,6,7
Case 1323;4,5,6,7
Case 606;4,5,6,7
Case 3992;4,5,8,6,7
Case 3336;4,5,6,7
Case 1570;4,5,6,7
Case 2059;4,5,9,6,7
Case 1915;4,5,6,7
Case 3449;4,4,5,9,6,7
Case 1730;4,5,9,6,7
Case 2492;4,5,6,7
Case 1679;4,5,9,6,7
Case 1465;4,5,9,6,7
Case 2035;4,5,11,8,6,7
Case 3563;4,5,6,7
Case 3372;4,5,9,6,7
Case 446;4,5,9,6,7
Case 2117;4,9,9,6,5,6,6,7
Case 193;4,5,9,6,7
Case 100;4,5,8,6,7
Case 2168;4,5,9,9,6,7
Case 3614;4,5,6,7
